Country,Latitude,Longitude,Total_Investment
Alabama,32.75,-86.75,3.10
Arizona,34.5,-111.5,1.50
Arkansas,34.75,-92.5,1.40
California,37.25,-119.75,6.10
Colorado,39,-105.5,0.00
Connecticut,41.6227,-72.7028,0.30
Delaware,38.6716,-75.4165,0.85
Florida,28.42,-81.55,42.00
Georgia,32.1598,-83.4715,0.04
Idaho,44.0739,-114.542,2.10
Illinois,40,-89.25,0.00
Indiana,40,-86.25,0.35
Iowa,42,-93.5,2.80
Kansas,38.5,-98.5,6.60
Kentucky,37.79,-84.87,13.70
Louisiana,30.6935,-92.241,1.20
Maine,45.5,-69.24,5.80
Maryland,39.4444,-77.0834,0.33
Massachusetts,42.3616,-72.1839,3.70
Michigan,43.1045,-84.6165,2.90
Minnesota,46.25,-94.25,0.02
Mississippi,33.503,-89.8071,0.37
Missouri,38.25,-92.5,0.31
Montana,47,-109.75,2.60
Nebraska,41.5,-99.75,1.40
Nevada,39.25,-116.75,1.80
New Hampshire,43.66,-71.49,0.00
New Jersey,40.16,-74.49,7.10
New Mexico,34.5,-106,3.50
New York,43,-75.49,0.24
North Carolina,35.5,-80,0.40
North Dakota,47.5,-100,1.80
Ohio,40.25,-83,0.00
Oklahoma,35.5,-97.5,0.00
Oregon,44,-120.5,9.40
Pennsylvania,40.86,-77.9,14.20
Rhode Island,41.4966,-71.4757,4.50
South Carolina,34,-81,8.90
South Dakota,44.5,-100.25,2.10
Tennessee,35.75,-86.25,0.00
Texas,31.25,-99.25,0.00
Utah,39.25,-111.75,0.01
Vermont,44.1584,-72.7678,0.01
Virginia,37.77,-78.24,6.00
Washington,47.5,-120.5,12.60
West Virginia,38.63,-80.73,0.00
Wisconsin,44.5,-90,0.57
Wyoming,43,-107.5,0.00
